Name;PLZ;Ort ;Straße;geschlossen/nicht vorhanden;Homepage;Typ;Bundesland;ADMA;Hogast;Privatkunde;potentieller Kunde;Bädertechnik;Service;Chemie;Telefon;Ansprechpartner;Berechnung;lat;lon
WEG 23., Breitenfurterstrasse 239p.A. BUWOG - Bauen und Wohnen GmbH;1010;Wien;Rathausstraße 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.208879499999995;16.35544816728278
WIENER STADTERNEUERUNGS-GESELLSCHAFT, Gemeinn. Wohnbau-Planungs-u.Betreuungsges.m.b.H.;1010;Wien;Eßlinggasse 8-10;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.215617215834726;16.36965324868349
Badeschiff Wien;1020;Wien;Wolfgang-Schmitz-Promenade;;http://www.badeschiff.at/;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.211667762;16.380509092
Blindeninstitut;1020;Wien;Wittelsbachstr.5;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Kadisch 0699 11322830;1;48.206773150000004;16.399411809955765
BundesBlindenerziehungsinstitut;1020;Wien;Wittelsbachstrasse 5;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.206773150000004;16.399411809955765
Bundesimmobiliengesellschaft m.b.H;1020;Wien;Trabrennstraße 2b und 2c;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2122027;16.4119927
Familienbad MA44 Augarten;1020;Wien;Augarten, Eingang Karl-Meißl-Straße;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.2283736;16.3737318
Julian BraveDots PS GmbH;1020;Wien;Waldsteingartenstraße 135;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.21326155;16.40491362322434
KIBB Immobilien GmbHWEG Am Tabor 23;1020;Wien;Florianigasse 24/3;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2119147;16.3503592
ÖKO-Haus;1020;Wien;Engerthstraße 257;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Kartus 0676 4463851;1;48.2133912;16.4191993
OptimaMed RehabilitationszentrumWiesing GmbH;1020;Wien;Lassallestraße 7a/Unit 4/Top8;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Petra Freilinger ;;;;;ja;ja;;;1;48.2220942;16.3973094
Wiener Sportstätten Betriebsgesellschaft m.b.H.Wiener Praterstadion -Ernst Happel Stadion Sektor B;1020;Wien;Meiereistraße 7;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.20718935;16.420917065669776
Apostelbad MA44;1030;Wien;Apostelgasse 18;;http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/apostelbad.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.1989005;16.3966354
EG Hofjägerstrasse 2zHd. Arwag Immobilientreuhand GmbH;1030;Wien;Würtzlerstraße 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1938803;16.4080453
EigentümergemeinschaftBraunhubergasseZH Arwag Immobilientreuhand;1030;Wien;Würtzlerstraße 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1938803;16.4080453
Familienbad Schweizergarten MA44;1030;Wien;Schweizergarten, Eingang Kleistgasse;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.193212;16.39045
HTBLA,BHAK u. BHAS Wien IIIHaustechnik;1030;Wien;.;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2083537;16.3725042
Imperial Riding School;1030;Wien;Ungargasse 60;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Pessenlehner 0650/4683113;1;48.197219;16.3860179
Schulzentrum HTL HAK Ungargasse;1030;Wien;Ungargasse 69;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Entholzer 0676/ 4741507;1;48.19588385;16.3869509125
Strabag Property and Facility Services GmbHDir. MQ/BB;1030;Wien;Dietrichgasse 25 / E-Büro/ 6. OG;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2001394;16.4023823
Wilhelm Beetz BauunternehmungGesellschaft m.b.H.;1030;Wien;Pfarrhogasse 1a;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Gerald Jagschitz;;;;;ja;ja;;;1;48.1954478;16.325771514743323
9/81100HT Romulus & Allegro Tosca Wien Objekt GmbH & Co KGp.A. IMV Immobilien Management GmbH;1040;Wien;Paulanergasse 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1961598;16.3652949
Gymnasium Stiftung Theresianische Akademie;1040;Wien;Favoritenstr. 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Wilding 0676 897 055 104;1;48.19435825;16.370701372409147
Familienbad Einsiedlerplatz undSaunabad Einsiedlerbad MA44;1050;Wien;Einsiedlerplatz 18;;http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/einsiedlerbad.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.18572935;16.349547454024673
John Harris Margartenbad;1050;Wien;Strobachgasse 7-9;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Herr Wagner 01 544121233;1;48.1926303;16.3583919
Ingenieure Hans & Franz HUBER Bauges.m.b.H.;1060;Wien;Mariahilfer Straße 1c/Top X;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2022337;16.3613579
Time Out City;1060;Wien;Windmühlgasse 6;;;Hotelanlage;Wien;Ernst Schügerl;;;;;ja;ja;;Fr. Kleveta;1;48.2003175;16.3578844
Time Out City HotelDoris Kleveta;1060;Wien;Windmühlgasse 6;;;Hotelanlage;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2003175;16.3578844
WEG Wien 19., Glanzinggasse 35-39z.Hd. Gebäudeverwaltung Schmaus;1060;Wien;Chwallagasse 4/11;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.197775626051275;16.35104256424986
EG-2391 Kaltenleutg.Doktorbergz.Hd.Ludwig HALLAS Immobilien-verwaltung GmbH;1070;Wien;Gaudenzdorfer Gürtel 47;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1868435;16.3427603
FAMILIE gemeinnützige Wohn- und Siedlungs-genossenschaft Gen.m.b.H.;1070;Wien;Lindengasse 55;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.19922435;16.3464339928264
Hermannbad MA44;1070;Wien;Hermanngasse 28;;http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/hermannbad.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.2029406;16.3472889
URBANBAUGemeinn.Bau-,Wohnungs- undStadterneuerungsges.m.b.H.;1070;Wien;Lindengasse 55;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.19922435;16.3464339928264
Wohnbau GemeinnützigeWohn- und Siedlungsgenossenschaft Reg Gen.m.b.H.;1070;Wien;Lindengasse 55;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.19922435;16.3464339928264
Arch. Dil.-Ing. Dr. Harry Glück ;1080;Wien;Lange Gasse 8;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Gundacker 01/ 4061660;1;48.20723925;16.35304938176941
EG Schlosspark Seebensteinp.A. Michael Scheichrein Immobilienverwaltungsges.m.b.H.;1080;Wien;Lange Gasse 20-22;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2085842;16.35258
MA39 Prüflabor;1080;Wien;Feldgasse 9;Geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2136244;16.345240109398905
Amerikanische BotschaftFinancial Managment Center;1090;Wien;Weidlichgasse 5;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.179374;16.298123
Amalienbad MA44;1100;Wien;Reumannplatz 23;;http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/amalienbad.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Ing. Nemec Kurt 0676 811844562 ;1;48.1742792;16.378839363331146
AUVA Allgemeine UnfallversicherunganstaltVienna Twin Towers - Turm A.30;1100;Wien;Wienerbergstraße 11;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Martin Schwab;;;;;ja;ja;;;1;48.1685218;16.3468394
Familienbad Gudrunstraße MA44;1100;Wien;Gudrunstraße 31, Ecke Absberggasse;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.175949;16.389722
HT Romulus & Allegro Tosca Wien Objekt GmbH & Co KGp.A. Klein & Co Immobilienmanagement GmbH;1100;Wien;Paulanergasse 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1961598;16.3652949
Laaerbergbad MA44;1100;Wien;Ludwig-von-Höhnel-Gasse 2;;http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/laaerbergbad.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.1593605;16.38478
Quellensauna;1100;Wien;Hintere Liesingbachstraße 2-4;;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Fr. Daschill 0664/8920997;1;48.1367033;16.39642388837123
SEM Energie- und Gebäudemanagement GmbH;1100;Wien;Triester Straße 89-91;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1666955;16.3482101
Wienerbergcity Freibad;1100;Wien;Herta Firnbergstraße 14;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Szmolka 0664 / 6395216;1;48.198674;16.348388
Wohnwert Immobilien GmbH & Co KGp.A. Klein & Co Immobilienmanagement GmbH;1100;Wien;Bloch-Bauer-Promenade 12/1A;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.18000931300722;16.38547861279761
Braunhubergasse Freibad;1110;Wien;Braunhubergasse 26/2/3 ;geschlossen;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Hönel 0699/ 10296859;1;48.16956765028911;16.413604838865236
Kombibad Simmering MA44;1110;Wien;Florian-Hedorfer-Straße 5;;http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/simmering.html;Frei- & Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. DI Rauch Lutz 0676/811844472;1;48.16383235;16.428624322180916
Simmering MA44;1110;Wien;Florian-Hedorfer-Straße 5;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.16383235;16.428624322180916
EG-2391 Kaltenleutg.Doktorbergp.A. RES Immobilienverwaltung GmbH;1120;Wien;Gaudenzdorfer Gürtel 47;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1868435;16.3427603
Kuratorium FORTUNAzur Errichtung von Senioren-Wohnanlagen;1120;Wien;Kheslplatz 6;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2063045;16.367830377057928
MA44 Theresienbad;1120;Wien;Hufelandgasse 3;;;Frei- & Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Ing. Nemec Kurt 0676 811844562 ;1;48.1818453;16.328048
Schlosspark Fortuna;1120;Wien;Khleslplatz 6;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Kroiss 01/8120080 1268;1;48.1625182;16.3218263
Hietzinger Bad MA 44;1130;Wien;Atzgersdorfer Straße 14;;http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/hietzing.html;Frei- & Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. DI Rauch Lutz 0676/811844472;1;48.168794;16.293721021257223
MA 10  Girzenberg;1130;Wien;Angermayergasse 9;;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1837927;16.268772906932377
Maygasse WHA;1130;Wien;Maygasse 40-46;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1646201;16.2815897
Ober St Veiter Tennisclub;1130;Wien;Jennerplatz 25;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.175560700000005;16.258614460233346
Ober St. Veiter Tennisclub;1130;Wien;Jennerplatz 25;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.175560700000005;16.258614460233346
Orthop. Spital Speising;1130;Wien;Riedelgasse 54;;;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Müllner 01/80182500;1;48.162731;16.283553
Auer-Welsbach-Bad;1140;Wien;Schloßallee 2;;;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Tel. 01 894301;1;48.18962865;16.31554044494372
Cumberlandstrasse;1140;Wien;Cumberlandstrasse 53;;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1915412;16.303221254123713
Familienbad Reinlgasse;1140;Wien;Familienbad Reinlgasse 21 Ecke, Märzstraße;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.196339949999995;16.311522120833335
Hadikgasse;1140;Wien;Hadikgasse 128-134;geschlossen;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Fr. Stehle 0699 19532566;1;48.1902742;16.2947628
Holmes Place Hütteldorferstr.;1140;Wien;Hütteldorferstr. 130a;;;Hotelanlage;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1978573;16.2997293
Hütteldorfer Bad MA44;1140;Wien;Linzer Straße 376;;http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/huetteldorf.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. DI Jellinek Bernhard 0676/81144572;1;48.2012675;16.2641021
MA 44 Reinlgasse ;1140;Wien;Reinlgasse 21 Ecke, Märzstraße;;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.1968646;16.3119395
Penzinger Bad MA44;1140;Wien;Hütteldorfer Straße 136;;http://www.wien.gv.at/freizeit/baeder/uebersicht/saunabaeder/penzingerbad.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.1974293;16.2955449
Sargfabrik Wien - Verein für Lebensgestaltung;1140;Wien;Goldschlagstraße 169;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1952213;16.3046408
Sommerbad Hadersdorf-Weidlingau MA44;1140;Wien;Hauptstraße 41;;http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/hadersdorf.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. DI Jellinek Bernhard 0676/81144572;1;48.209134;16.223182
Stadt des Kindes;1140;Wien;Hofjägerstrasse 6;;;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2066715;16.213661505536603
WEG 1140 Wien, Cumberlandstrasse 53p.A. IVB Immobilienverwaltung &-vermittlung Bründl GmbH;1140;Wien;Leyserstraße 1/8;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.19970893106635;16.30254313568546
WEG Bauernfeldgasse 4p.A. Hawlisch & PartnerImmobilientreuhand GmbH;1140;Wien;Waidhausenstrasse 19/10;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.200593653573996;16.279402520846475
WEG Pfarrwiesengasse 23p.A. Hawlisch & Partner Immobilientreuhand GmbH;1140;Wien;Waidhausenstrasse 19/10;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.200593653573996;16.279402520846475
Familienwohnbau gemeinnützigeBau- u. Siedlungsgesellschaft m.b.H;1150;Wien;Märzstraße 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2005011;16.3366289
Institut für Sport- und Bewegungswissenschaften - Schmelz Sportzentrum ;1150;Wien;Auf der Schmelz 6;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hrr. Jetschko 0699 17728643;1;48.20373345;16.31755560385811
WEG 1110 Wien Braunhubergasse 28z.H.: WEVIG;1150;Wien;Märzstraße 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2005011;16.3366289
WEG 1130 Wien, Trazerberggasse 6c/ol HV Dr. Brandstetter GmbH;1150;Wien;Würfelgasse 4;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.20556945;16.357914740612536
Zentrale für SportgeräteverleihSportplatzwartung Standort:Universitäts-Sportzentrum Wien;1150;Wien;Auf der Schmelz 6;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.20373345;16.31755560385811
Dr. Richard Wolf Austria GmbH;1160;Wien;Wilhelminenstraße 93A;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;noch keine Zuordnung;;;;;ja;ja;;;1;48.2179126;16.3049982
Familienbad Hofferplatz MA44;1160;Wien;Hofferplatz 466/2;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.20905750283569;16.332891219882356
Kongreßbad;1160;Wien;Julius-Meinl-Gasse 7a;;http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/kongressbad.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.221915949999996;16.31110816487567
Ottakringerbad MA44;1160;Wien;Johann-Staud-Straße 11;;http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/ottakring.html;Frei- & Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr Ing. Hofbauer Gernot 0676/811844632;1;48.211683550000004;16.291000241927215
Jörgerbad MA44;1170;Wien;Jörgerstraße 42-44;;http://www.wien.gv.at/freizeit/baeder/uebersicht/hallenbaeder/joergerbad.html;Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Ing. Hofbauer Gernot 0676/811844632;1;48.2181341;16.3350065
Kongreßbad MA44;1170;Wien;Julius-Meinl-Gasse 7a;;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.2215806;16.3123308
Neuwaldegger Bad;1170;Wien;Promenadegasse 58;;;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Michael Dolezel 01/4862452;1;48.2330185;16.28582142951003
Familienbad Währinger Park MA44;1180;Wien;Semperstraße, Währinger Park 62;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.232146;16.348441
MA 34 Hans Radl Schule;1180;Wien;Währinger Straße 173-181;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Christian Volek 0660/1504640;1;48.229135;16.330818
Schafbergbad MA44;1180;Wien;Josef-Redl-Gasse 2;;http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/schafbergbad.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Ing. Hofbauer Gernot 0676/811844632;1;48.2362416;16.3017341
Amerikanische Botschaft;1190;Wien;Boltzmanngasse 16;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2229203;16.35679364471384
Familienbad-Hugo-Wolf-Park MA44;1190;Wien;Hartäckerstraße, Hugo-Wolf-Park 54-58, Eingang Dänenstraße;;http://www.wien.gv.at/freizeit/baeder/uebersicht/familienbaeder.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Stangl Hannes 0676/ 811844281;1;48.198674;16.348388
Glanzinggasse;1190;Wien;Glanzinggasse 35-39/ 4 E;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Strebl 0676/82062876;1;48.2427081;16.3162464
Herbert Bau GmbHz.H. GF Alexander Finster;1190;Wien;Muthgasse 36;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2490454;16.369579602036467
Kombibad Döbling MA44;1190;Wien;Geweygasse 6;;http://www.wien.gv.at/freizeit/baeder/uebersicht/kombibaeder/doebling.html;Frei- & Hallenbad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. DI Rauch Lutz 0676/811844472;1;48.2506879;16.358106972295918
Krapfenwaldlbad MA44;1190;Wien;Krapfenwaldgasse 65-73;;http://www.wien.gv.at/freizeit/baeder/uebersicht/sommerbaeder/krapfenwaldlbad.html;Freibad;Wien;Ernst Schügerl;;;;;ja;ja;;Hr. DI Jellinek Bernhard 0676/81144572;1;48.2670606;16.3309881
Pfarrwiesengasse WHA;1190;Wien;Pfarrwiesengasse 23;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2460044;16.3448037
