Name;PLZ;Ort ;Straße;geschlossen/nicht vorhanden;Homepage;Typ;Bundesland;ADMA;Hogast;Privatkunde;potentieller Kunde;Bädertechnik;Service;Chemie;Telefon;Ansprechpartner;Berechnung;lat;lon
Goldentime Saunaclub Wien;1110;Wien;Karl-Gunsam-Gasse 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.17633705;16.400666173212727
Haidehof;1110;Wien;Rzehakgasse  4;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.156876350000005;16.45498371250957
Hallergasse WHA;1110;Wien;Hallergasse 1 ;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1796976;16.420039026790036
Hofgartel Weg;1110;Wien;Etrichstraße 34;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1548288;16.4656729
Leberberg;1110;Wien;Ernst-Heiss-Gasse 2/Stiege 4;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.15542889029119;16.46540720868365
Trepulkagasse WHA;1110;Wien ;Trepulkagasse 6;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.15499065;16.45327875055691
Wohnungsanlage Lorystraße ;1110;Wien;Lorystraße ;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.17018679543001;16.41552112532916
Schönbrunner Bad;1130;Wien;Schloss Schönbrunn, Sportbad Schönbrunn;;http://www.schoenbrunnerbad.at/;Freibad;Wien;Gerald Jagschitz;;;;;nein;nein;;;1;48.185568;16.312632
Club Danube;1140;Wien;Deutschordenstraße 3;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1956786;16.2660238
Gustav Klimt;1140;Wien;Felbigergasse 81;;;Hallenbad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.19582165;16.285598628709597
Verein Sportanlage Eisring Süd;1140;Wien;Windtenstraße 2;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.168954;16.3558949
Club Danube ;1160;Wien;Kendlerstrasse 41;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2043398;16.3091247
Seitenberg;1160;Wien;Seitenberggasse 42;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.219301;16.313544
Exe;1170;Wien;Ottakringerstraße 34/36;;https://www.eurostarshotels.de/exe-vienna.html?referer_code=lb0gg00yx&utm_source=google&utm_medium=business&utm_campaign=lb0gg00yx;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;nein;0676/6424091;;1;48.2149769;16.3365593
HG Rötzergasse - ECO Friend Solutions GmbH;1170;Wien;Rötzergasse 56;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2220247;16.3236937
HG Dr. Heinrich Maierstraße ;1180;Wien;Maierstraße 60;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.24548705;16.299136499182012
Fitness Club Manhattan Nord;1190;Wien;Heiligenstädter Lände 17;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Gerald Jagschitz;;;;;nein;nein;;;1;48.239143;16.36246
Haus Döbling Kuratorium;1190;Wien;Grinzinger Allee 26;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.249215;16.343383
HG Nussberggasse - AIV Generali, Wohnhausanlage Hans Peter Petri;1190;Wien;Nussberggasse 2c;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2628498;16.3630515
Orchideenpark WHA;1190;Wien;Püchlgasse 1a;;;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2460606;16.3602896
HG Meldemannstraße;1200;Wien;Meldemannstraße 20-24;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2379296;16.3797198
Anton-Böck-Gasse;1210;Wien;Anton Böck Gasse 20;;;Hallenbad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.297995150000006;16.389086908908524
Club Danube ;1210;Wien;Moeringgasse 20;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2035239;16.3339949
Kefedergrundgasse;1210;Wien;Kefedergrundgasse;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.260060912567354;16.431777347623708
Sport- und Seminarzentrum Langenzersdorf swim.sport.relax;1210;Wien;Stowassergasse 11;;https://www.swim-sport-relax.at/;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2900071;16.3791449
Wohnungsanlage Rudolf-Virchow-Straße WHA;1210;Wien;Rudolf-Virchow-Straße 14-16;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Gerald Jagschitz;;;;;nein;nein;;;1;48.2728209;16.3868823
Badeteich Hirschstetten;1220;Wien;Spargelfest Straße;;;Naturbadeanlage;Wien;noch keine Zuordnung;;;;;nien;nein;;;1;48.198674;16.348388
Club Danube;1220;Wien;Weingartenallee 22;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2841937;16.504666199048337
Club Danube ;1220;Wien;Dr. Adolf Schärf-Platz 4;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2432519;16.4341086
FC Stadlau;1220;Wien;Erzherzog Karlstr. 108;;;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.22980835;16.450330700936544
HG Harlacherweg;1220;Wien;Harlacherweg 2;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Gerald Jagschitz;;;;;nein;nein;;;1;48.2349519;16.4447417
HG Ogugasse - Wohnanlage;1220;Wien;Ogugasse 5;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2476525;16.4314095
Langobarden-Apotheke Wien;1220;Wien;Langobardenstrasse 126;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2181471;16.4724119
Leonard-Bernstein-Straße 4-6;1220;Wien;Leonard-Bernstein-Straße 4-6;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.235015;16.4107421
Panozzalacke;1220;Wien;Lobgrundstraße ;;;Naturbadeanlage;Wien;noch keine Zuordnung;;;;;nein;nein;;;1;48.17667852174253;16.500140910382026
Polizeibad;1220;Wien;Dampfschiffhaufen 65;;http://www.polizeisv-wien.at/sportanlage-polizeibad/;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.21690115;16.433260631561296
PSO-Sommerbad;1220;Wien;Dampfschiffhaufen 12;;http://www.psoriasis-hilfe.at/pso-naturbad.html;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2199705;16.431592854106178
Strandbad Stadlau;1220;Wien;Am Mühlwasser 6;;http://www.strand-domizil.at/;Naturbadeanlage;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.21278695;16.458157365395294
Zum Straba - Straßenbahnerbad;1220;Wien;Dampfschiffhaufen 189;;http://www.ksv-wienerlinien.at/ksv_freizeitanlagen_stra%C3%9Fenbahnerbad;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.21970654154271;16.431965497492367
Caverion Österreich GmbH;1230;Wien;Oberlaaer Strasse 331;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1475064;16.3624433
Club Danube;1230;Wien;Anton Baumgartner-Strasse 40;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.15198445;16.318240859423387
Gleiss Vienna;1230;Wien;Kolbegasse 39;geschlossen;;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.146873400000004;16.353461069073994
Sozialbau AG - HG Erlaaer Straße 81;1230;Wien;Erlaaer Straße 81;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.14674051269910;16.309324284131800
Wien-Süd Gregorygasse ;1230;Wien;Gregorygasse 12;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1540494;16.30495088889434
City Hotel;2000;Stockerau;Hauptstraße 49;;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.38614;16.215623
Humanis Klinikum NÖ;2000;Stockerau;Landstraße 18;;https://stockerau.lknoe.at/;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.386469149999996;16.205072144912258
Freibad SeefeldKadolz;2062;Seefeld    ;Großkadolz 1;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.712508;16.193539
Caritas Wohnhaus Retz;2070;Retz;Fladnitzerstraße 44-46;;https://www.caritas-wien.at/hilfe-angebote/menschen-mit-behinderung/tagesstaetten/weinviertel/tagesstaette-retz;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.764794949999995;15.949016074316294
Parkbad Retz;2070;Retz;Wallstraße 13;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.755763200000004;15.954944582006888
Waldbad Hardegg;2082;Hardegg;Hardegg Vorstadt ;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.8522835;15.85692435
Erlebnisbad Weitersfeld;2084;Weitersfeld    ;Weitersfeld 213;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.78312635;15.808472005103024
Freizeitpark & Bergwerksee Langau;2091;Langau    ;Langau 103;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.8312255;15.7157905
Freizeitzentrum Langau;2091;Langau    ;Langau 103;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.8312255;15.7157905
Edlersee Geras;2093;Pfeffenreith    ;Pfaffenreith 5;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.7915436138129;15.660849059442600
Terrassenbad Drosendorf;2095;Drosendorf;Badstraße 25;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.869249350000004;15.608363152750032
Badeteich Bisamberg;2100;Korneuburg;Hauptplatz 39;;;Naturbadeanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.343963200000005;16.33358388168846
Badeteich Seeschlacht;2103;Langenzersdorf    ;Alleestraße 85;;;Naturbadeanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.29723835;16.36132374959413
Erholungsgebiet Seeschlacht (Langenzersdorf);2103;Langenzersdorf    ;Alleestraße 85;;;Naturbadeanlage;Wien;noch keine Zuordnung;;;;;nein;nein;;;1;48.29723835;16.36132374959413
Klaus / Sauna;2120;Wolkersdorf im Weinviertel;Julius Bittner Platz 4;;https://www.hotel-klaus.at/;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;02245 22240;;1;48.385285800000005;16.514523476553073
Sommerbad Wolkersdorf;2120;Wolkersdorf im Weinviertel  ;Badgasse 1;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.38570575;16.508601436345824
Hallenbad und Sauna Ladendorf;2126;Ladendorf    ;Schulgasse 1;;;Hallenbad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.53387545;16.48863312419094
St. Martins Therme ;2132;Frauenkirchen;Im Seewinkel 1;;https://www.stmartins.at/;Hotelanlage;Burgenland;Gerald Jagschitz;;;;;nein;nein;02172 20500700;;1;47.8080399;16.917755018825304
Freibad Unterstinkenbrunn;2154;Unterstinkenbrunn    ;Badsiedlung 16;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.66582995;16.350867545083382
Badeteich Poysdorf;2170;Poysdorf    ;Laaer Straße;;;Naturbadeanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.666970773544705;16.623333549172205
Freibad Neusiedl/Zaya;2183;Neusiedl an der Zaya ;Bahnstraße 31;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.607622;16.7887109
Badeteich Gerasdorf;2201;Gerasdorf;Teichgasse;;https://www.gerasdorf-wien.gv.at/;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.30165408744021;16.46297041628145
Kurthotel Bad Pirawarth;2222;Bad Pirawarth;Kulturhausstraße 100;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.449581;16.609871
Hallenbad Matzen;2243;Matzen    ;Jubiläumsplatz 9;;;Hallenbad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.399461;16.695061
Waldbad Matzen;2243;Matzen    ;Kirchengasse 3;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.404580800000005;16.693394912776025
Aubad Hohenau an der March;2273;Hohenau an der March ;Freizeitareal;;;Naturbadeanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.6064895;16.9020685
Landschaftsteich Bernhardsthal;2275;Bernhardsthal ;Am Teich 222;;;Naturbadeanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.692702749999995;16.873878565794364
Restaurant Sachsengang;2301;Großenzersdorf;Schlosshoferstraße 60;;https://www.hotelsachsengang.com/?gad_source=1&gclid=Cj0KCQjw7ZO0BhDYARIsAFttkCivJrDJgM6XVXARrRmEH11qBwIjjmSJYMKRAqDXJtGN2cS3N3SHh3oaAlyqEALw_wcB;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.19585965;16.563331026334776
schlossORTH NationalparkZentrum;2304;Orth an der Donau ;Schlossplatz 1;;https://www.donauauen.at/besuchen/schlossorth-nationalpark-zentrum;Naturbadeanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.1443391;16.7010883
Erlebnisbad Vösendorf;2331;Vösendorf;Badstraße 2;;https://voesendorf.gv.at/unser-voesendorf/einrichtungen/seebad/;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.1216028;16.3370676
Austria Trend Eventhotel Pyramide ;2334;Vösendorf;Parkallee 2;;;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;01 69900;;1;48.112297749999996;16.313120331198647
Ramada Vienna South;2334;Vösendorf;Nordring 4;geschlossen;;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;01 6992601;;1;48.113739;16.3164214
Babenbergerhof;2340;Mödling;Babenbergergasse 6;;;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.083565300000004;16.28363216389728
Kleinkind-Erlebnisbad;2340;Mödling;Gretel Sätz-Steig 14;vorübergehend geschlossen;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.0804807;16.2888674
Fitness Manhattan Süd;2345;Brunn am Gebirge;Europaring 21;;https://www.manhattan.at/club-brunn/?gad_source=1&gclid=Cj0KCQjw7ZO0BhDYARIsAFttkCgM4CODzQFy5Nru99AfGjSYhfqOb_XktFflr7u_lD2gM89r_EGmgX0aAl6iEALw_wcB;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.11576907688954;16.29832659276383
Kahrteich/Gemeindeteich;2351;Wiener Neudorf;IZ NÖ-Süd Straße 3;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.0780001;16.324930218827078
Landhaus Moserhof;2352;Gumpoldskirchen;Wiener Straße 53;;https://www.landhaus-moserhof.eu/;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;02252 256650;;1;48.0439338;16.2806233
Ozean Badeteich Guntramsdorf;2353;Guntramsdorf    ;Ozeanstraße 1;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.064524649999996;16.314867534329828
Windradlteich Guntramsdorf;2353;Guntramsdorf    ;Danfoss Straße 7;;;Naturbadeanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.056837200000004;16.308257439781567
Badeteich Laxenburg;2361;Laxenburg    ;Neudorfer Straße;;;Freibad;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.07019713045174;16.351333369834396
NÖ Sozial-Betreungszentrum;2371;Hinterbrühl;Urlaubskreutzenstraße 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;48.08414;16.244683
Freizeitzentrum Perchtoldsdorf;2380;Perchtoldsdorf    ;Siegfried Ludwig Platz 4;;;Frei- & Hallenbad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.12335525;16.267340155251986
HG Stefaniegasse;2391;Kaltenleutgeb;Stefaniegasse;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.119566;16.204315
Andrea Aparthotel ;2393;Sparbach ;Sparbach 14;;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;02237 7694;;1;48.073210399999994;16.19045425339903
Aparthotel Andrea;2393;Sparbach ;Sparbach 14;;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.073210399999994;16.19045425339903
Hotel Stöckl;2405;Bad Deutsch Altenburg;Hauptplatz 3;;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.1346547;16.90548482903668
Kurzentrum Ludwigstorff;2405;Bad Deutsch Altenburg;Badgasse 1;;https://www.kur-l.at/home.html;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.13486665;16.90524649380997
Stöckl;2405;Bad Deutsch Altenburg;Hauptplatz 3;;https://www.gasthof-stoeckl.at/;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.1346547;16.90548482903668
Erholungszentrum Reisenberg;2440;Reisenberg;Ortsstraße 1;;https://www.see-reisenberg.at/;Naturbadeanlage Plus;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;47.998245;16.526581
Freibad Au am Leithaberge;2451;Au am Leithaberge;Badgasse;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;47.92175942756105;16.5631842808496
Weinbergbad Göttlesbrunn;2464;Göttlesbrunn    ;Rosenbergstraße 32;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.063648;16.738638
Freibad Neudorf bei Parndorf;2475;Neudorf;Badstraße 1;;;Naturbadeanlage;Burgenland;Gerald Jagschitz;;;;;nein;nein;;;1;48.013568500000005;16.935083599137936
Domino Suiten;2483;Ebreichsdorf;Dominostraße 1;;;Hotelanlage;Niederösterreich;noch keine Zuordnung;;;;;nein;nein;;;1;47.963674;16.402262
Naturbadesee Neufeld an der Leitha;2491;Neufeld an der Leitha;Eisenstädter-Straße 35;;;Naturbadeanlage Plus;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;47.8656556;16.38603779919261
Herzoghof;2500;Baden;Kaiser Franz Ring 10;;https://www.hotel-herzoghof.at/;Hotelanlage;Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;48.0096135;16.233328417913718
"KBB-Klinikum Besitz-und Betriebs GmbH
Klinikum am Kurpark Baden";2500;Baden;Renngasse 2-4;;https://www.klinikum-baden.at/;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;48.00922777521660;16.233273849002200
Krainerhütte;2500;Baden;Helenental 41;;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.02266935;16.165786968452696
Pension Maria;2500;Baden;Elisabethstraße 11;geschlossen;;Hotelanlage;Niederösterreich;Ernst Schügerl;;;;;nein;nein;02252 87937;;1;48.0026524;16.234605141317793
"Rheuma-Sonderkrankenanstalt
der NÖ Gebietskrankenkasse";2500;Baden;Trostgasse 23;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;48.01365205752400;16.240341574272000
Schloß Weikersdorf;2500;Baden;Schloßgasse 9-11 ;geschlossen;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;48.0084327160501;16.220179691543855
Badesee Oberwaltersdorf;2522;Oberwaltersdorf    ;Trumauer Str. 53;;;Naturbadeanlage;Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;47.9853779;16.3354868
Hanner;2534;Mayerling;Mayerling 1;geschlossen;;Hotelanlage;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;02258 2378;;1;48.0468887;16.098590080638527
Innerio Heat Exchanger GmbH;2542;Kottingbrunn;Etrich-Strasse 59-73;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;47.9596762;16.2590092
"AURA
Wohnungseigentumsges.m.b.H";2544;Leobersdorf;Aredstraße 11;;https://www.aurabau.at/;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;47.92706092777860;16.199485055287300
Sportschule Lindabrunn GmbH;2551;Enzesfeld-Lindabrunn;Talleitengasse 15;;https://www.noefv.at/;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;47.90626;16.174026
Volksschulgemeinde Felixdorf;2603;Felixdorf;Hauptstrasse 31;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Niederösterreich;Ernst Schügerl;;;;;nein;nein;;;1;47.882038;16.242551
Naturbad Gloggnitz;2640;Gloggnitz    ;Semmeringstraße 3;;;Freibad;Niederösterreich;Gerald Jagschitz;;;;;nein;nein;;;1;47.6704342;15.932384561657049
Hotel Payerbacherhof;2650;Payerbach;Hauptstraße 2;;;Hotelanlage;Niederösterreich;Gerald Jagschitz;ja;;;;nein;nein;;;1;47.693012;15.863537
